dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2
Cora,GAT,2,0.05,Gaussian,0.5,0.5738007426261902,293,2.063150644302368,2.2145564556121826,0.2874903976917267
Cora,GAT,2,0.05,EdgeDrop,NA,0.7822878360748291,460,2.957123041152954,2.3854265213012695,0.29822397232055664
Cora,GAT,2,0.1,Vanilla,NA,0.8173431754112244,162,1.3616411685943604,2.3029143810272217,0.2880098819732666
Cora,GAT,2,0.1,Identity,NA,0.6863468885421753,158,1.8304822444915771,2.2850544452667236,0.28804200887680054
Cora,GAT,2,0.1,Shuffled,NA,0.5793358087539673,493,3.1661794185638428,2.2981581687927246,0.288017213344574
Cora,GAT,2,0.1,Gaussian,0.1,0.6476014852523804,282,2.0049679279327393,2.268024206161499,0.2880830764770508
Cora,GAT,2,0.1,Gaussian,0.3,0.6476014852523804,153,1.3141860961914062,2.2421915531158447,0.28802740573883057
Cora,GAT,2,0.1,Gaussian,0.5,0.6476014852523804,371,2.452753782272339,2.237725019454956,0.28798386454582214
Cora,GAT,2,0.1,EdgeDrop,NA,0.8228782415390015,228,1.8499841690063477,2.385683298110962,0.2983044981956482
Cora,GAT,3,0.01,Vanilla,NA,0.6568265557289124,417,3.0604212284088135,2.300050973892212,0.2881874442100525
Cora,GAT,3,0.01,Identity,NA,0.45018449425697327,217,1.8030364513397217,2.2920351028442383,0.2882052958011627
Cora,GAT,3,0.01,Shuffled,NA,0.34317344427108765,131,1.2045934200286865,2.304340124130249,0.2879765033721924
Cora,GAT,3,0.01,Gaussian,0.1,0.3782287836074829,185,1.5000910758972168,2.2648820877075195,0.2880461513996124
Cora,GAT,3,0.01,Gaussian,0.3,0.3560885787010193,261,1.8727097511291504,2.188002347946167,0.287853866815567
