dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2
CiteSeer,GAT,2,0.01,Shuffled,NA,0.24924924969673157,69,1.0213348865509033,2.4453177452087402,0.3050675094127655
CiteSeer,GAT,2,0.01,Gaussian,0.1,0.30480480194091797,183,1.7060534954071045,2.4087448120117188,0.30523574352264404
CiteSeer,GAT,2,0.01,Gaussian,0.3,0.2942942976951599,121,1.6058292388916016,2.0629141330718994,0.2993519902229309
CiteSeer,GAT,2,0.01,Gaussian,0.5,0.2987987995147705,249,2.214583396911621,1.5977543592453003,0.29305365681648254
CiteSeer,GAT,2,0.01,EdgeDrop,NA,0.5810810923576355,312,2.4807169437408447,2.450063705444336,0.3062494099140167
CiteSeer,GAT,2,0.03,Vanilla,NA,0.662162184715271,342,2.6883909702301025,2.4453670978546143,0.3056713938713074
CiteSeer,GAT,2,0.03,Identity,NA,0.38288289308547974,120,1.329087257385254,2.4379327297210693,0.3056654632091522
CiteSeer,GAT,2,0.03,Shuffled,NA,0.28378379344940186,283,2.446309804916382,2.4450671672821045,0.30534446239471436
CiteSeer,GAT,2,0.03,Gaussian,0.1,0.342342346906662,271,2.4898698329925537,2.407180070877075,0.3055182099342346
CiteSeer,GAT,2,0.03,Gaussian,0.3,0.3453453481197357,419,3.1234631538391113,2.336111307144165,0.3052493929862976
CiteSeer,GAT,2,0.03,Gaussian,0.5,0.3543543517589569,337,2.6275265216827393,2.1119544506073,0.3047568202018738
CiteSeer,GAT,2,0.03,EdgeDrop,NA,0.6516516804695129,236,2.0293056964874268,2.4501290321350098,0.306263267993927
CiteSeer,GAT,2,0.05,Vanilla,NA,0.695195198059082,127,1.534813404083252,2.4453284740448,0.30554893612861633
CiteSeer,GAT,2,0.05,Identity,NA,0.44594594836235046,119,1.5645670890808105,2.435544729232788,0.30566704273223877
CiteSeer,GAT,2,0.05,Shuffled,NA,0.3378378450870514,279,2.3160595893859863,2.4452219009399414,0.30556556582450867
CiteSeer,GAT,2,0.05,Gaussian,0.1,0.42042043805122375,97,1.1970069408416748,2.380443572998047,0.3049289584159851
CiteSeer,GAT,2,0.05,Gaussian,0.3,0.41591593623161316,188,1.7476632595062256,2.292482376098633,0.30388128757476807
CiteSeer,GAT,2,0.05,Gaussian,0.5,0.41591593623161316,373,2.8627452850341797,2.1848978996276855,0.304715633392334
CiteSeer,GAT,2,0.05,EdgeDrop,NA,0.6831831932067871,192,1.8876171112060547,2.4501452445983887,0.3062724173069
CiteSeer,GAT,2,0.1,Vanilla,NA,0.7087087035179138,176,2.050630807876587,2.4453563690185547,0.3056238293647766
CiteSeer,GAT,2,0.1,Identity,NA,0.5090090036392212,119,1.3277630805969238,2.43326473236084,0.30563250184059143
CiteSeer,GAT,2,0.1,Shuffled,NA,0.38288289308547974,447,3.4014010429382324,2.445385456085205,0.3056088387966156
CiteSeer,GAT,2,0.1,Gaussian,0.1,0.4954954981803894,145,1.481762409210205,2.3997199535369873,0.30536025762557983
CiteSeer,GAT,2,0.1,Gaussian,0.3,0.4879879951477051,139,1.431952953338623,2.3273565769195557,0.3050026297569275
CiteSeer,GAT,2,0.1,Gaussian,0.5,0.4654654860496521,285,2.5048248767852783,2.2475626468658447,0.3051104247570038
CiteSeer,GAT,2,0.1,EdgeDrop,NA,0.7012012004852295,87,1.3913936614990234,2.4501101970672607,0.306212842464447
CiteSeer,GAT,3,0.01,Vanilla,NA,0.4834834933280945,368,2.831282138824463,2.4451828002929688,0.3056778907775879
CiteSeer,GAT,3,0.01,Identity,NA,0.29729729890823364,66,0.9831953048706055,2.4398884773254395,0.3054206073284149
CiteSeer,GAT,3,0.01,Shuffled,NA,0.24474474787712097,122,1.3486380577087402,2.445054054260254,0.3053250014781952
CiteSeer,GAT,3,0.01,Gaussian,0.1,0.29279279708862305,112,1.292715072631836,2.384047746658325,0.3055204451084137
CiteSeer,GAT,3,0.01,Gaussian,0.3,0.2642642855644226,201,1.836747169494629,2.071305513381958,0.30377310514450073
CiteSeer,GAT,3,0.01,Gaussian,0.5,0.24024024605751038,150,1.5423903465270996,1.5485094785690308,0.2942081391811371
CiteSeer,GAT,3,0.01,EdgeDrop,NA,0.42042043805122375,142,1.8349106311798096,2.451385974884033,0.3063727021217346
CiteSeer,GAT,3,0.03,Vanilla,NA,0.6921921968460083,317,2.5320308208465576,2.445237398147583,0.30560699105262756
CiteSeer,GAT,3,0.03,Identity,NA,0.4369369447231293,161,1.5787410736083984,2.4321491718292236,0.3056497871875763
CiteSeer,GAT,3,0.03,Shuffled,NA,0.29279279708862305,87,1.1230957508087158,2.4452362060546875,0.3046864867210388
CiteSeer,GAT,3,0.03,Gaussian,0.1,0.3933933973312378,74,1.061108112335205,2.3859646320343018,0.305265337228775
CiteSeer,GAT,3,0.03,Gaussian,0.3,0.38588589429855347,362,2.799485683441162,2.3280105590820312,0.3042544424533844
CiteSeer,GAT,3,0.03,Gaussian,0.5,0.3888888955116272,538,4.27698826789856,2.120609998703003,0.3048970401287079
CiteSeer,GAT,3,0.03,EdgeDrop,NA,0.6711711883544922,274,2.270084857940674,2.4517550468444824,0.30640214681625366
CiteSeer,GAT,3,0.05,Vanilla,NA,0.7027027010917664,238,2.064981460571289,2.445286750793457,0.30544549226760864
CiteSeer,GAT,3,0.05,Identity,NA,0.46396398544311523,150,1.4695556163787842,2.433286428451538,0.3055971562862396
CiteSeer,GAT,3,0.05,Shuffled,NA,0.3333333432674408,263,2.1957130432128906,2.4450554847717285,0.3051251173019409
CiteSeer,GAT,3,0.05,Gaussian,0.1,0.3978978991508484,144,1.7075204849243164,2.3838987350463867,0.30447283387184143
CiteSeer,GAT,3,0.05,Gaussian,0.3,0.40390390157699585,327,2.762688636779785,2.3364903926849365,0.30504631996154785
CiteSeer,GAT,3,0.05,Gaussian,0.5,0.4009009003639221,307,2.463913679122925,2.1062283515930176,0.3050520420074463
CiteSeer,GAT,3,0.05,EdgeDrop,NA,0.6996996998786926,172,1.6354074478149414,2.451770067214966,0.3061939477920532
CiteSeer,GAT,3,0.1,Vanilla,NA,0.7387387752532959,138,1.4220623970031738,2.445321798324585,0.30552828311920166
CiteSeer,GAT,3,0.1,Identity,NA,0.5360360741615295,174,1.6384963989257812,2.4317409992218018,0.30567002296447754
